"Client_Code","Booking_Date","sunday","monday","wednesday","thursday","friday","saturday","time_booked","cancel_days","NoShow","service_CAL","service_CALC","service_CAS","service_CBAL","service_CCAMO","service_CCO","service_CDPB","service_CFC","service_CHLFH","service_CHLFHC","service_CHLHH","service_CHLHHC","service_CHLPHC","service_CHLPL","service_CMT","service_CON","service_CT","service_CTU","service_FRI","service_MISC","service_SBD","service_SBD5","service_SDUD","service_SHCC","service_SHCM","service_SHCW","service_SMARTBOND","service_SMO","staff_BECKY","staff_HOUSE","staff_JJ","staff_JOANNE","staff_KELLY","staff_SINEAD","Canceled_By_BECKY","Canceled_By_JJ","Canceled_By_JOANNE","Canceled_By_KELLY","Canceled_By_SINEAD","quantity","amount","avg_receipt","avg_quantity","total_cancel12","hclust3","hclust4","Mclust3","Mclust4"
"WXATNI","2018-04-13",0,0,0,0,1,0,510,"0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"miss",5.14592347599577,"0","0",0,"1","1","2","3"
"Q4NPGP","2018-04-13",0,0,0,0,1,0,1080,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"miss",5.75336597484503,"0","0",0,"2","2","2","3"
".L01","2018-05-23",0,0,1,0,0,0,640,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2",5.57215403217776,"30","1",0.693147180559945,"1","3","3","4"
".L01","2018-05-23",0,0,1,0,0,0,790,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"2",5.57215403217776,"67.2222222222222","1.1",0.693147180559945,"3","4","2","3"
".L01","2018-06-27",0,0,1,0,0,0,720,"4-7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"miss",4.02535169073515,"miss","3",0.693147180559945,"3","4","3","4"
".L01","2018-08-22",0,0,1,0,0,0,660,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"miss",4.26267987704132,"miss","0",0.693147180559945,"1","3","2","3"
"?A01","2018-06-14",0,0,0,1,0,0,810,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",3.58351893845611,"0","0",0.693147180559945,"3","4","2","2"
"?A01","2018-06-23",0,0,0,0,0,1,990,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",4.02535169073515,"30","1",0.693147180559945,"2","2","2","2"
"?A01","2018-07-07",0,0,0,0,0,1,790,"miss","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"2",3.58351893845611,"67.2222222222222","1.1",1.09861228866811,"3","4","2","2"
"?A01","2018-07-21",0,0,0,0,0,1,840,"0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",4.02535169073515,"174.933333333333","3",1.38629436111989,"3","4","2","2"
