Variable,Univariable,Lasso,Ridge,ComplementNB,RandomForest,CART,GradientBoost,ADAboost,SVM,Sum
Founded_36,0,0,0,0,1,1,0,0,0,2
Founded_37,0,0,0,0,1,0,1,0,0,2
Founded_38,0,0,0,0,1,0,0,0,0,1
Founded_39,1,0,0,0,1,1,0,0,0,3
Founded_40,0,0,0,0,1,1,0,0,0,2
Founded_41,0,0,0,0,1,1,0,0,0,2
Founded_42,0,0,0,0,0,0,0,0,0,0
Founded_43,1,0,0,0,1,1,0,1,0,4
Founded_44,0,0,0,0,1,0,0,0,0,1
Founded_45,0,0,0,0,1,0,0,0,0,1
Founded_46,0,0,0,0,0,0,0,0,0,0
Founded_47,0,0,0,0,1,1,0,0,0,2
Founded_48,0,0,0,0,0,1,0,0,0,1
Founded_49,0,0,0,1,0,0,0,0,0,1
Founded_50,0,0,0,0,0,0,0,0,0,0
Founded_51,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_1,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_2,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_3,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_4,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_5,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_6,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_7,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_8,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_9,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_10,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_11,0,0,0,0,0,1,0,0,0,1
FirstDateInvestedByActivisit_12,0,0,1,0,0,1,1,0,0,3
FirstDateInvestedByActivisit_13,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_14,0,0,0,0,0,1,1,0,0,2
FirstDateInvestedByActivisit_15,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_16,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_17,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_18,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_19,0,0,0,1,0,1,0,0,0,2
FirstDateInvestedByActivisit_20,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_21,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_22,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_23,1,0,1,0,1,1,1,1,0,6
FirstDateInvestedByActivisit_24,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_25,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_26,1,0,0,0,1,1,1,0,0,4
FirstDateInvestedByActivisit_27,1,0,0,0,1,1,0,0,0,3
FirstDateInvestedByActivisit_28,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_29,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_30,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_31,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_32,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_33,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_34,0,0,0,1,0,1,0,0,0,2
FirstDateInvestedByActivisit_35,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_36,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_37,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_38,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_39,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_40,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_41,1,0,0,0,1,1,1,0,0,4
FirstDateInvestedByActivisit_42,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_43,0,0,1,1,1,1,0,0,0,4
FirstDateInvestedByActivisit_44,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_45,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_46,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_47,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_48,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_49,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_50,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_51,0,0,1,0,0,0,0,0,0,1
FirstDateInvestedByActivisit_52,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_53,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_54,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_55,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_56,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_57,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_58,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_59,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_60,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_61,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_62,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_63,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_64,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_65,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_66,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_67,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_68,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_69,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_70,0,0,1,0,1,1,0,0,0,3
FirstDateInvestedByActivisit_71,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_72,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_73,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_74,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_75,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_76,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_77,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_78,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_79,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_80,1,0,0,0,1,1,1,1,0,5
FirstDateInvestedByActivisit_81,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_82,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_83,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_84,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_85,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_86,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_87,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_88,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_89,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_90,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_91,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_92,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_93,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_94,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_95,0,0,0,0,1,0,0,0,0,1
FirstDateInvestedByActivisit_96,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_97,0,0,1,1,0,0,1,1,0,4
FirstDateInvestedByActivisit_98,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_99,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_100,0,0,0,0,1,0,0,0,0,1
FirstDateInvestedByActivisit_101,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_102,1,0,0,0,1,1,1,0,0,4
FirstDateInvestedByActivisit_103,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_104,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_105,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_106,0,0,0,0,1,0,0,0,0,1
FirstDateInvestedByActivisit_107,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_108,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_109,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_110,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_111,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_112,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_113,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_114,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_115,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_116,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_117,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_118,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_119,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_120,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_121,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_122,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_123,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_124,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_125,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_126,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_127,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_128,0,0,0,0,0,1,0,0,0,1
FirstDateInvestedByActivisit_129,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_130,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_131,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_132,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_133,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_134,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_135,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_136,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_137,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_138,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_139,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_140,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_141,0,0,1,0,0,1,0,0,0,2
FirstDateInvestedByActivisit_142,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_143,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_144,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_145,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_146,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_147,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_148,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_149,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_150,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_151,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_152,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_153,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_154,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_155,0,0,1,0,0,1,0,0,0,2
FirstDateInvestedByActivisit_156,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_157,1,0,0,0,1,1,0,0,0,3
FirstDateInvestedByActivisit_158,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_159,0,0,0,1,1,1,0,0,0,3
FirstDateInvestedByActivisit_160,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_161,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_162,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_163,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_164,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_165,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_166,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_167,0,0,1,0,0,1,0,0,0,2
FirstDateInvestedByActivisit_168,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_169,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_170,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_171,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_172,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_173,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_174,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_175,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_176,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_177,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_178,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_179,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_180,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_181,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_182,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_183,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_184,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_185,0,0,1,1,0,0,0,0,0,2
