,with,pv_w,without,pv_wo,diff,Corr.Drop,Diss.Drop,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoOfInvByIND,0.06540824,0.002666228,0.071617436,0.001087251,-9%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgChangeOverPeriodOfInvByIND,0.068525505,0.001647881,0.089436319,8.45E-05,-31%,No,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgReturnAnnualisedByIND,0.009350849,0.667939236,0.033280478,0.155610001,-256%,No,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgSPReturnByIND,-0.111621623,2.80E-07,-0.111621623,2.80E-07,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgSPReturnAnnualisedByIND,-0.010347113,0.635011679,-0.014626895,0.524222426,-41%,No,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarketCap,0.267037015,3.26E-35,0.234929536,9.07E-24,12%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampByMC,-0.040709946,0.061715203,-0.040709946,0.061715203,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PositiveReturnByMC,0.042006027,0.053871266,0.042006027,0.053871266,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HitRatioByMC,0.294551605,1.92E-43,0.274995585,5.38E-37,7%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampByMC3Y,-0.028154853,0.196407293,-0.009528265,0.683189258,66%,No,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PositiveReturnByMC3Y,0.067666606,0.001885134,0.067666606,0.001885134,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HitRatioByMC3Y,0.157310301,3.82E-13,0.153989248,1.82E-12,2%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoOfInvByMC,0.115877945,9.61E-08,NA,NA,NA,NA,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgChangeOverPeriodOfInvByMC,-0.193329615,3.44E-19,NA,NA,NA,NA,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgAnnualisedReturnByMC,0.191369552,7.93E-19,NA,NA,NA,NA,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgSPReturnByMC,-0.189708525,1.60E-18,NA,NA,NA,NA,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActivistAUM,0.047018823,0.030914294,0.089770525,7.26E-05,-91%,No,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeatsProposed,0.169611634,0.001836945,0.16174602,0.003998622,5%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeatsGained,-0.014720405,0.788675324,0.047058129,0.413608798,-220%,No,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
